,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,PSNL,2020-12-31,USD,6070000,20176000,14106000,14106000,-13370000,10920000,8520000,19440000,76000,0,76000,0,20176000,-29000,None,None,-13323000,18000,0,-13341000,-13356000,-13370000,None,-13341000
1,PSNL,2020-09-30,USD,5333000,19816000,14483000,14483000,-9653000,7793000,7193000,14986000,117000,0,117000,0,19816000,-4000,None,None,-9540000,5000,0,-9545000,-9614000,-9653000,None,-9545000
2,PSNL,2020-06-30,USD,4672000,19495000,14823000,14823000,-9498000,7705000,6465000,14170000,246000,0,246000,0,None,1000,None,None,-9251000,4000,0,-9255000,-9222000,-9498000,None,-9255000
3,PSNL,2020-03-31,USD,-15124000,19159000,15122000,15122000,-9625000,7274000,6390000,13664000,510000,-2000,510000,2000,None,8000,None,None,-9109000,30000,2000,-9139000,-9060000,-9625000,None,-9139000
4,PSNL,2019-12-31,USD,6565000,18154000,11589000,11589000,-7196000,6388000,7373000,13661000,580000,0,580000,0,None,-25000,None,None,-6641000,4000,0,-6645000,-6622000,-7196000,None,-6645000
5,PSNL,2019-09-30,USD,-13432000,15245000,11524000,11524000,-5730000,6056000,5303000,11512000,756000,-204000,756000,204000,None,-2000,None,None,-6884000,1000,1908000,-6885000,-6899000,-5730000,None,-6885000
6,PSNL,2019-06-30,USD,-24927000,-15004000,9923000,9923000,-4061000,5466000,4497000,19886000,None,-545000,200000,745000,None,-1261000,None,None,-5867000,2000,None,-5869000,-5884000,-4061000,None,-5869000
7,PSNL,2019-03-31,USD,3984000,14075000,10091000,10091000,-5431000,4170000,5245000,19506000,None,-100000,-100000,184000,None,-152000,None,None,-5683000,2000,None,-5685000,-5670000,-5431000,None,-5685000
8,PSNL,2018-12-31,USD,4829000,13157000,8328000,8328000,-3148000,3696000,4281000,None,None,None,None,244000,None,-239000,None,None,-3553000,2000,None,None,-3557000,-3148000,None,-3555000
9,PSNL,2018-09-30,USD,4481000,11654000,7173000,7173000,-1751000,2658000,3574000,13405000,None,None,None,455000,None,-180000,None,None,-3639000,2000,None,-3641000,-3642000,-1751000,None,-3641000
10,PSNL,2018-06-30,USD,2396000,8799000,6403000,6403000,-3708000,2604000,3500000,12507000,None,None,None,573000,None,218000,None,None,-7314000,1000,None,-7315000,-7320000,-3708000,None,-7315000
