,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,GNFT,2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-79500,None,None,None,None,None,None
1,GNFT,2020-03-31,USD,None,None,None,None,None,8871000,None,None,None,None,None,None,None,None,None,None,None,-79500,None,None,None,None,None,None
2,GNFT,2019-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-143500,None,None,None,None,None,None
3,GNFT,2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-143500,None,None,None,None,None,None
4,GNFT,2019-06-30,USD,2678500,2678500,0,0,-22969000,6201000,19449500,25647500,None,None,None,-2834500,None,0,None,None,-25710500,-144500,None,-25566000,None,-22969000,None,-25566000
5,GNFT,2019-03-31,USD,2678500,2678500,0,0,-22969000,6201000,19449500,25647500,None,None,None,-2834500,None,0,None,None,-25710500,-144500,None,-25566000,None,-22969000,None,-25566000
6,GNFT,2018-12-31,USD,1224000,1224000,0,0,-18966000,2851000,17239000,20190000,None,None,None,-3962500,None,0,None,None,-22751500,-247000,None,-22504500,None,-18966000,None,-22504500
7,GNFT,2018-09-30,USD,1224000,1224000,0,0,-18966000,2851000,17239000,20190000,None,None,None,-3962500,None,0,None,None,-22751500,-247000,None,-22504500,None,-18966000,None,-22504500
8,GNFT,2018-06-30,USD,281412.08,281412.08,0,0,-1759801.46,228152.36,1815068.88,0.14,None,None,None,-170152.25,None,0,None,None,-1916903.69,7807.71,None,-1924711.39,None,-1759801.46,None,-1924711.39
9,GNFT,2018-03-31,USD,300661.38,300661.38,0,0,-1880176.37,243758.57,1939224.21,0.38,None,None,None,-181791.10,None,0,None,None,-2048024.79,8341.77,None,-2056366.56,None,-1880176.37,None,-2056366.56
