,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,DAO,2020-12-31,CNY,525469000,1106796000,581327000,581327000,-452771000,850160000,128080000,1559567000,None,-4173000,-4173000,None,None,None,None,None,-447439000,495000,None,-447934000,None,-452771000,None,-447754000
1,DAO,2020-09-30,CNY,411553000,896041000,484488000,484488000,-894004000,1184566000,120991000,1790045000,None,-1217000,-1217000,None,None,None,None,None,-877869000,240000,None,-878109000,None,-894004000,None,-877805000
2,DAO,2020-06-30,CNY,281539000,623290000,341751000,341751000,-283013000,473129000,91423000,906303000,None,-424000,-424000,None,None,None,None,None,-257818000,9000,None,-257827000,None,-283013000,None,-257806000
3,DAO,2020-03-31,CNY,235725000,541388000,305663000,305663000,-175996000,327622000,84099000,717384000,None,123000,123000,None,None,None,None,None,-167297000,2185000,None,-169482000,None,-175996000,None,-169424000
4,DAO,2019-12-31,CNY,122430000,410432000,288002000,288002000,-204030000,237206000,89254000,614462000,None,-1736000,-1736000,-0.01,None,0,None,None,-202894000,-9000,None,-202885000,None,-204030000,None,-201998000
5,DAO,2019-09-30,CNY,89234000,345908000,256674000,256674000,-234742000,249047000,74929000,580650000,None,-4071000,-4071000,-0.01,None,0,None,None,-229874000,802000,None,-230676000,None,-234742000,None,-231130000
6,DAO,2019-06-30,CNY,106063000,322812000,216749000,216749000,-83096000,132841000,56318000,405908000,None,-6425000,-6425000,-0.03,None,0,None,None,-75111000,819500,None,-75944000,None,-83096000,None,-76497000
7,DAO,2019-03-31,CNY,52895000,225731000,172836000,172836000,-79050000,77079000,54866000,304781000,None,-5937000,None,-0.03,None,0,None,None,-91144000,806000,None,-91950000,None,-79050000,None,-91878000
8,DAO,2018-09-30,USD,5906331.44,25382812.39,19476480.95,19476480.95,-12471720.36,10701859.10,7676192.69,37854532.75,None,None,None,-740002.04,None,0,None,None,-10754997.16,529342.40,None,-11284339.56,None,-12471720.36,None,-11209509.53
9,DAO,2018-06-30,USD,53807000,163577500,109770500,109770500,-41566500,55025000,40348500,205144000,None,None,None,-6528500,None,None,None,None,-44195500,2232500,None,-46428000,None,-41566500,None,-46089000
10,DAO,2018-03-31,USD,53807000,163577500,109770500,109770500,-41566500,55025000,40348500,205144000,None,None,None,-6528500,None,None,None,None,-44195500,2232500,None,-46428000,None,-41566500,None,-46089000
