,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,FUBO,2020-09-30,USD,73375000,73375000,0,71006000,-302164000,30538000,10727000,363366000,None,10081000,0,-10081000,63294000,None,100000,14413000,-290188000,-16071000,-12173000,-274117000,-277227000,-302164000,-287751000,-274117000
1,FUBO,2020-06-30,USD,44172000,20262000,-23910000,62579000,-67290000,24915000,9551000,111462000,None,-13325000,None,13325000,44172000,None,None,14417000,-76403000,-3481000,None,-73604000,-99073000,-67290000,-52873000,-72922000
2,FUBO,2020-03-31,USD,7295000,7295000,0,None,-18128000,20203000,None,25423000,None,-1664000,0,1664000,7295000,None,None,5217000,-54432000,1038000,1664000,-19166000,-6048000,-18128000,-12911000,-55470000
3,FUBO,2019-12-31,USD,3038000,-2184000,-5222000,None,-19803000,-3790000,None,-3919000,None,-102000,0,102000,-1581000,None,None,5122000,-20604000,-2038000,102000,-24986000,-97505000,-19803000,-14681000,-18566000
4,FUBO,2019-09-30,USD,1512000,5834000,5222000,5222000,-6925000,2264000,None,12759000,None,399000,0,-399000,None,None,None,5244000,-7809000,-1028000,-399000,-6909000,-6781000,-6925000,-1681000,-6781000
5,FUBO,2019-06-30,USD,-454000,-454000,0,None,-6416000,804000,None,5962000,None,-454000,0,454000,None,None,None,5158000,-6584000,-1037000,454000,-3365000,-5547000,-6416000,-1258000,-5547000
6,FUBO,2019-03-31,USD,-446000,-446000,0,None,-6641000,1037000,None,6195000,None,-446000,0,446000,None,None,None,5158000,-4635000,-1169000,446000,-2867000,-3466000,-6641000,-1483000,-3466000
7,FUBO,2018-12-31,USD,-246823,-246823,0,None,-7591004,5883539,None,7591004,None,-2148823,0,2148823,None,None,None,5653639,None,-2114000,296823,-7458282,-3467743,-7591004,-1937365,-3467743
8,FUBO,2018-09-30,USD,-207177,-207177,0,None,-5491996,-774539,None,5491996,None,-207177,0,207177,None,None,None,None,None,None,207177,-4865718,-4260257,-5491996,None,-4260257
9,FUBO,2018-06-30,USD,-173000,-173000,0,None,-1040000,934000,None,1040000,None,-173000,0,173000,None,None,None,None,None,None,173000,-2187000,-2187000,-1040000,None,-2187000
10,FUBO,2018-03-31,USD,-122000,-122000,0,None,-840000,703000,None,840000,None,-122000,0,122000,None,None,None,None,None,None,122000,-695000,-695000,-840000,None,-695000
11,FUBO,2017-12-31,USD,0,0,0,0,-422000,196000,None,422000,None,0,0,0,None,None,None,None,None,None,0,-373000,-373000,-422000,None,-373000
12,FUBO,2017-09-30,USD,0,0,0,0,-226000,162000,None,226000,None,-32000,0,32000,None,None,None,None,None,None,32000,-808000,-808000,-226000,None,-808000
13,FUBO,2017-06-30,USD,28000,36000,8000,8000,-359000,73000,None,387000,None,-5000,0,5000,None,None,None,None,None,None,5000,5003000,5017000,-359000,None,5017000
14,FUBO,2017-03-31,USD,22000,53000,31000,31000,-170000,98000,None,192000,None,7000,0,-7000,None,None,None,None,None,None,-7000,-6970000,6646000,-170000,None,6638000
15,FUBO,2016-12-31,USD,-1000,32000,33000,33000,-148000,-253000,None,147000,None,587000,0,-587000,None,None,None,None,None,None,-531000,11989000,-5034000,-148000,None,-5034000
16,FUBO,2016-09-30,USD,70000,146000,76000,76000,-1231000,290000,None,1301000,None,-23000,0,23000,None,None,None,None,None,None,1495000,-722000,-720000,-1231000,None,-705000
17,FUBO,2016-06-30,USD,5000,7000,2000,2000,-125000,29000,None,130000,None,-31000,136000,167000,None,None,None,None,None,None,31000,-1823000,-1823000,-125000,None,-1823000
18,FUBO,2016-03-31,USD,20000,22000,2000,2000,-122000,28000,None,142000,None,-170000,0,170000,None,None,None,None,None,None,170000,-2499000,-2467000,-122000,None,-2467000
19,FUBO,2015-12-31,USD,26962,195612,168650,168650,-2137143,-18140,None,2164105,None,-168599,0,168599,None,None,None,None,None,None,1668517,-5663124,-5648610,-2137143,None,-5648610
