,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,TCRR,2020-12-31,USD,None,0,None,None,-18567000,4269000,14298000,18567000,None,191000,None,None,None,None,None,None,-18376000,75000,None,-18451000,None,-18089000,None,-18451000
1,TCRR,2020-09-30,USD,None,0,None,None,-17191000,4371000,12820000,-17191000,None,300000,300000,None,None,300000,None,None,-16891000,31000,None,-16922000,None,-16750000,None,-16922000
2,TCRR,2020-06-30,USD,None,0,None,None,-16716000,3809000,12907000,16716000,None,499000,499000,None,None,499000,None,None,-16217000,28000,None,-16245000,None,-16349000,None,-16245000
3,TCRR,2020-03-31,USD,None,0,None,None,-16226000,4271000,11955000,16226000,None,747000,747000,None,None,747000,None,None,-15479000,27000,None,-15506000,None,-15920000,None,-15506000
4,TCRR,2019-12-31,USD,None,0,None,None,-13571000,4179000,9392000,13571000,None,846000,846000,None,None,None,None,None,-12725000,102000,None,-12827000,None,-13267000,None,-12827000
5,TCRR,2019-09-30,USD,None,0,None,None,-14896000,3522000,11374000,14896000,None,1090000,1090000,None,None,1090000,None,None,-13806000,None,None,-13806000,None,-14638000,None,-13806000
6,TCRR,2019-06-30,USD,None,0,None,None,-12140000,3307000,8833000,12140000,None,1077000,1077000,None,None,1077000,None,None,-11063000,None,None,-11063000,None,-11975000,None,-11063000
7,TCRR,2019-03-31,USD,None,0,None,None,-10775000,2886000,7889000,10775000,None,872000,872000,None,None,872000,None,None,-9903000,None,None,-9903000,None,-10640000,None,-9903000
8,TCRR,2018-12-31,USD,0,0,0,0,-8441000,4918000,3523000,8441000,None,None,None,None,None,None,None,None,-7690000,0,None,-7690000,None,-8441000,None,-7690000
9,TCRR,2018-09-30,USD,None,None,None,None,-18012000,1704000,None,None,None,None,None,None,None,None,None,None,-16561000,None,None,None,None,None,None,-16561000
10,TCRR,2018-06-30,USD,None,None,None,None,-6809000,2406000,4403000,6809000,None,None,None,None,None,None,None,None,-6187000,None,None,-6187000,None,-6809000,None,-6187000
11,TCRR,2018-03-31,USD,None,None,None,None,-4113000,1765000,2348000,4113000,None,None,None,None,None,None,None,None,-3986000,None,None,-3986000,None,-4113000,None,-3986000
12,TCRR,2017-12-31,USD,0,0,0,0,-4037000,2712000,1325000,4037000,None,None,None,None,None,None,None,None,-4012000,0,None,-4012000,None,-4037000,None,-4012000
13,TCRR,2016-12-31,USD,None,None,None,None,None,9710000,7670000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
