,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,LEGN,2020-12-31,USD,None,40783000,None,None,-59504000,33353000,66934000,100287000,None,-40000,None,40000,None,None,None,None,-57755000,72000,None,-57827000,None,-57715000,None,-57827000
1,LEGN,2020-09-30,USD,None,11747000,None,None,-67234000,15325000,63656000,78981000,None,-90000,None,90000,None,None,None,None,-67054000,-508000,None,-66546000,None,-66964000,None,-66546000
2,LEGN,2020-06-30,USD,None,11600000,None,None,-56032000,14065000,53567000,67632000,None,-88000,None,88000,None,None,None,None,-134876000,None,None,-134876000,None,-134788000,None,-134876000
3,LEGN,2020-03-31,USD,None,11546000,None,None,-45321000,9975000,48003000,56867000,None,-3142000,849000,3991000,None,None,None,None,-47937000,-3709000,None,-44228000,None,-42496000,None,-44228000
4,LEGN,2019-12-31,USD,None,19450000,None,None,-137107000,15422000,66097000,79837000,None,4497000,None,-27000,None,None,None,None,-130370000,None,None,-63943000,None,-61598000,None,-132972000
5,LEGN,2019-09-30,USD,None,17674000,None,None,-30695000,6452000,41917000,48369000,None,-82000,None,82000,None,None,None,None,-27792000,5000,None,-27797000,None,-27710000,None,-27797000
6,LEGN,2019-06-30,USD,None,10087000,None,None,-29190000,6637000,32640000,39277000,None,-19000,None,19000,None,None,None,None,-28466000,336000,None,-28802000,None,-28447000,None,-28802000
7,LEGN,2019-03-31,USD,None,10053000,None,None,-14305000,3861000,21289000,25031000,None,1715000,1753000,-939000,None,None,None,None,-12430000,None,None,-12430000,None,-12792000,None,-12430000
