,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,INBX,2020-12-31,USD,2776000,2776000,None,None,-17107000,2215000,17668000,19883000,None,-532000,None,532000,None,-7000,None,None,-17646000,3000,None,-17649000,-17649000,-17107000,None,-17649000
1,INBX,2020-09-30,USD,None,5901000,None,None,-15558000,1622000,19837000,21459000,None,-4428000,None,4428000,None,None,None,None,-20010000,None,None,-20497000,None,-15558000,None,-20497000
