,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,INMB,2020-12-31,USD,10916,10916,None,None,-3208860,6273523,6584545,12858068,None,None,None,None,None,4574,None,None,-3204286,None,None,-3204286,None,-3204286,None,-3204286
1,INMB,2020-09-30,USD,None,0,None,None,-4819146,2456266,2362880,-4819146,None,None,None,None,None,102484,None,None,-4716662,None,None,-4716662,None,-4716662,None,-4716662
2,INMB,2020-06-30,USD,None,0,None,None,-2107409,1204366,903043,2107409,None,None,None,None,None,-395,None,None,-2107804,None,None,-2107804,None,-2107409,None,-2107804
3,INMB,2020-03-31,USD,None,0,None,None,-2092261,1299474,792787,2092261,None,21854,21854,None,None,21854,None,None,-2070407,None,None,-2070407,None,-2092261,None,-2070407
4,INMB,2019-12-31,USD,None,0,None,None,-2332305,1465750,866555,2332305,None,14086,14086,None,None,None,None,None,-2318219,None,None,-2318219,None,-2332305,None,-2318219
5,INMB,2019-09-30,USD,None,0,None,None,-3084186,1916200,1167986,3084186,None,17220,17220,None,None,17220,None,None,-3066966,None,None,-3066966,None,-3084186,None,-3066966
6,INMB,2019-06-30,USD,None,0,None,None,-428423,1676611,293812,428423,None,36340,36340,None,None,36340,None,None,-392083,None,None,-392083,None,-3512423,None,-392083
7,INMB,2019-03-31,USD,None,0,None,None,-1911090,1809495,101592,1911087,None,None,None,None,None,10042,None,None,-1901050,None,None,-1901045,None,-1911087,None,-1901050
8,INMB,2018-12-31,USD,0,0,0,0,-1879935,1364649,515286,1879935,None,None,None,None,None,None,None,None,-1879935,0,None,-1879935,None,-1879935,None,-1879935
9,INMB,2018-09-30,USD,0,0,0,0,-1539841,1341065,198776,1539841,None,None,None,None,None,None,None,None,-1539841,0,None,-1539841,None,-1539841,None,-1539841
10,INMB,2018-06-30,USD,0,0,0,0,-6173863,5886547,287316,6173863,None,None,None,None,None,None,None,None,-6173863,0,None,-6173863,None,-6173863,None,-6173863
11,INMB,2018-03-31,USD,0,0,0,0,-2846384,2742373,104011,2846384,None,None,None,None,None,None,None,None,-2846384,0,None,-2846384,None,-2846384,None,-2846384
12,INMB,2017-12-31,USD,0,0,0,0,-428229,696000,312000,428229,None,None,None,None,None,None,None,None,-428235,0,None,-428235,None,-428229,None,-428235
13,INMB,2017-06-30,USD,None,None,None,None,None,165000,65000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,INMB,2017-03-31,USD,None,None,None,None,None,120000,58000,None,None,None,None,None,None,None,None,None,30000,None,None,None,None,None,None,30000
15,INMB,2016-12-31,USD,None,None,None,None,None,227000,101000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
