,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,RICE,2020-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,RICE,2017-09-30,USD,358722000,365282000,6560000,6560000,91047000,36223000,None,311356000,None,None,None,31996000,None,None,None,None,55318000,10559000,None,321000,None,214490000,None,321000
2,RICE,2017-06-30,USD,389959000,398307000,8348000,8348000,129062000,39226000,None,284860000,None,None,None,30695000,None,None,None,None,171166000,33917000,None,83525000,None,263183000,None,62340000
3,RICE,2017-03-31,USD,387156000,393806000,6650000,6650000,48574000,33824000,None,351597000,None,None,None,29675000,None,None,None,None,-2065000,-576000,None,-26298000,None,182141000,None,-26298000
4,RICE,2016-12-31,USD,279139000,284046000,4907000,4907000,6882000,33992000,None,283780000,None,None,None,29012000,None,None,None,None,-300977000,-96483000,None,-169890000,None,110040000,None,-169890000
5,RICE,2016-09-30,USD,194789000,198920000,4131000,4131000,26640000,29956000,None,183047000,None,None,None,25668000,None,None,None,None,172220000,81142000,None,74413000,None,100726000,None,65832000
6,RICE,2016-06-30,USD,151443000,155998000,4555000,4555000,-33779000,29272000,None,189777000,None,None,None,26419000,None,None,None,None,-259205000,-120496000,None,-156686000,None,52993000,None,-156686000
7,RICE,2016-03-31,USD,130320000,139942000,9622000,9622000,None,24873000,None,187332000,None,None,None,26073000,None,None,None,None,None,None,None,None,None,33755000,None,None
8,RICE,2015-12-31,USD,130061000,136086000,6025000,6025000,None,41010000,None,479378000,None,None,None,25411000,None,None,None,None,None,None,None,None,None,86346000,None,None
9,RICE,2015-09-30,USD,138791000,143622000,4831000,4831000,None,24114000,None,161248000,None,None,None,25262000,None,None,None,None,84882000,19797000,None,None,None,73370000,None,58951000
10,RICE,2015-06-30,USD,110093000,112894000,2801000,2801000,None,20424000,None,159063000,None,None,None,24665000,None,None,None,None,None,None,None,None,None,31685000,None,None
11,RICE,2015-03-31,USD,106208000,109539000,3331000,3331000,None,17490000,None,140619000,None,None,None,17232000,None,None,None,None,13217000,8530000,None,None,None,33012000,None,152000
12,RICE,2014-12-31,USD,None,129397000,31537000,31537000,11374000,19284000,None,None,None,None,None,12221000,None,None,None,None,177173000,72813000,None,None,None,64992000,None,103779000
13,RICE,2014-09-30,USD,None,79128000,43866000,43866000,None,10458000,None,None,None,None,None,16461000,None,None,None,None,7142000,14005000,None,None,None,22642000,None,None
14,RICE,2014-06-30,USD,None,91940000,19312000,19312000,24418000,14754000,None,None,None,None,None,16473000,None,None,None,None,None,None,None,None,None,57853000,None,None
15,RICE,2014-03-31,USD,None,90477000,86849000,86849000,None,11521000,None,None,None,None,None,7531000,None,None,None,None,138829000,9375000,None,None,None,-7810000,None,129454000
16,RICE,2013-12-31,USD,None,27888000,None,None,4363000,15168000,None,None,None,None,None,5352000,None,None,None,None,None,None,None,None,None,None,None,None
17,RICE,2013-09-30,USD,None,23689000,38045000,38045000,None,4507000,None,None,None,None,None,6901000,None,None,None,None,None,None,None,None,None,None,None,None
18,RICE,2013-06-30,USD,None,23877000,12883000,12883000,None,4588000,None,None,None,None,None,7112000,None,None,None,None,19586000,None,None,None,None,None,None,19586000
19,RICE,2013-03-31,USD,None,13233000,2933000,2933000,2528000,2641000,None,None,None,None,None,3780000,None,None,None,None,None,None,None,None,None,None,None,None
20,RICE,2012-12-31,USD,None,27200000,11077000,11077000,None,10874000,None,None,None,None,None,18402000,None,None,None,None,None,None,None,None,None,None,None,None
