,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,SUMO,2021-01-31,USD,39800000,53703000,14352000,14352000,-19618000,40968000,18450000,59418000,None,-49000,None,49000,53752000,None,500000,7174000,-19837000,752000,49000,-20589000,-20388000,-19618000,-12444000,-20589000
1,SUMO,2020-10-31,USD,38267000,51868000,13601000,13601000,-22897000,15507000,18753000,61164000,None,-612000,None,290000,None,None,400000,None,-23509000,417000,None,-23926000,-23977000,-22897000,None,-23926000
