,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,BNL,2020-12-31,USD,82291000,82291000,-6000,4986000,37448000,9232000,None,44082000,4000,-17123000,4000,17123000,-3000,None,None,30182000,17478000,-141000,17126000,42727000,24736000,37448000,67630000,16262000
1,BNL,2020-09-30,USD,80744000,80744000,-15000,4187000,14926000,7214000,None,65061000,0,-18511000,-18511000,18511000,-392000,None,None,31363000,9840000,129000,18903000,15988000,12634000,14926000,46289000,8750000
2,BNL,2020-06-30,USD,80371000,80371000,0,4190000,32492000,5700000,None,47024000,11000,-19513000,-19502000,19513000,0,None,None,39921000,17500000,402000,19513000,33547000,9878000,32492000,72413000,15353000
3,BNL,2020-03-31,USD,78231000,78231000,0,5390000,35871000,5842000,None,41373000,9000,-20991000,-20982000,20991000,-22000,None,None,31219000,12397000,549000,21013000,43477000,-42236000,35871000,67090000,10816000
4,BNL,2019-12-31,USD,84931000,84931000,0,6831000,52012000,1649000,None,31915000,3000,-21509000,-21506000,21509000,0,None,None,30829000,30127000,2415000,21509000,65151000,39759000,52012000,82841000,25934000
5,BNL,2019-09-30,USD,114686000,76401000,-38285000,5953000,80381000,1043000,None,31291000,5000,-18465000,-18460000,18465000,-455000,None,None,28392000,25038000,None,18920000,92971000,8060000,80381000,108773000,23388000
6,BNL,2019-06-30,USD,49521000,69053000,19532000,19532000,22573000,1661000,None,26948000,0,-16732000,-32559000,16732000,-8000,None,19532000,25287000,32364000,None,16740000,25360000,-5468000,22573000,47860000,16134000
7,BNL,2019-03-31,USD,49677000,68430000,18753000,18753000,22230000,1103000,None,27447000,1000,-15828000,None,15828000,-713000,None,18753000,24310000,None,None,16541000,23631000,2150000,22230000,46540000,13938000
8,BNL,2018-12-31,USD,45384000,63094000,17710000,17710000,-4297000,1711000,None,26931000,1000,-14740000,None,14740000,58597000,None,17710000,22691000,None,None,14740000,-3520000,-4746000,-4297000,18394000,13561000
9,BNL,2018-09-30,USD,44568000,61764000,17196000,17196000,26992000,1664000,None,26061000,81000,-14484000,None,14484000,58139000,None,17196000,21869000,None,None,14534000,29098000,27071000,26992000,48861000,21267000
10,BNL,2018-06-30,USD,41047000,57032000,15985000,15985000,26396000,1456000,None,21688000,239000,-12454000,None,12454000,53539000,None,15985000,20232000,None,None,12505000,30891000,23477000,26396000,46628000,16974000
11,BNL,2018-03-31,USD,34765000,55589000,20824000,20824000,26535000,1330000,None,20782000,298000,-11177000,None,11177000,51832000,None,15164000,19202000,None,None,11177000,26462000,33258000,26535000,45737000,17573000
12,BNL,2017-12-31,USD,30127000,49472000,19345000,19346000,23188000,1642000,None,21963000,300000,-9569000,None,9569000,46471000,None,13905000,17294000,None,None,9701000,22877000,20692000,23188000,40482000,15530000
13,BNL,2017-09-30,USD,28542000,46235000,17693000,17693000,19408000,1172000,None,19423000,314000,-9380000,None,9380000,41829000,None,12600000,15643000,None,None,10784000,20236000,12227000,19408000,35051000,11948000
14,BNL,2017-06-30,USD,None,43671000,None,None,21645000,None,None,None,None,None,None,7860000,None,None,None,14733000,None,None,None,None,9971000,21645000,36378000,14727000
15,BNL,2017-03-31,USD,None,42185000,None,None,20641000,None,None,None,None,None,None,7942000,None,None,None,14593000,None,None,None,None,14939000,20641000,35234000,12594000
16,BNL,2016-12-31,USD,None,39449000,None,None,17522000,None,None,None,None,None,None,5797000,None,None,None,13048000,None,None,None,None,43306000,17522000,30570000,12480000
17,BNL,2016-09-30,USD,None,37010000,None,None,16877000,None,None,None,None,None,None,4576000,None,None,None,12114000,None,None,None,None,15116000,16877000,28991000,13958000
18,BNL,2016-06-30,USD,None,34823000,None,None,13767000,None,None,None,None,None,None,8880000,None,None,None,11252000,None,None,None,None,-135000,13767000,25019000,4818000
19,BNL,2016-03-31,USD,None,31587000,None,None,15472000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15472000,None,5098000
