,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,AMK,2020-12-31,USD,110920000,110920000,79531000,79531000,-231959000,14493000,None,342879000,None,-1143000,-1142000,1143000,None,-1691000,None,9300000,1012000,10877000,1143000,-9865000,-9865000,-231959000,-222659000,-9865000
1,AMK,2020-09-30,USD,107138000,107138000,33867000,33867000,80212000,16721000,None,26926000,None,-1344000,-1344000,1344000,None,15000,None,8670000,887000,-7710000,1344000,8597000,8597000,80212000,88882000,8597000
2,AMK,2020-06-30,USD,99131000,99131000,30517000,30517000,74570000,14228000,None,24561000,None,-1474000,-1474000,1474000,None,39000,None,8747000,-3475000,5805000,1474000,-9280000,-9280000,74570000,83317000,-9280000
3,AMK,2020-03-31,USD,114890000,114890000,36304000,36304000,84683000,20268000,None,30207000,None,-1627000,-1627000,1627000,None,-50000,None,8409000,1807000,-929000,1627000,2736000,2736000,84683000,93092000,2736000
4,AMK,2019-12-31,USD,111008000,111008000,34111000,34111000,-208391000,17457000,None,319399000,None,-1702000,-1702000,1702000,None,0,None,8324000,1221000,3961000,1702000,-2740000,-2740000,-208391000,-200067000,-2740000
5,AMK,2019-09-30,USD,110131000,110131000,35088000,35088000,84628000,16593000,None,25503000,None,-2512000,-2512000,2512000,None,-2296000,None,7523000,907000,4635000,2512000,-3728000,-3728000,84628000,92151000,-3728000
6,AMK,2019-06-30,USD,35774000,104483000,68709000,68709000,10557000,17604000,None,93926000,None,-4031000,-4031000,4031000,None,None,None,7613000,6526000,3289000,None,3237000,3237000,10557000,18170000,3237000
7,AMK,2019-03-31,USD,63734000,92314000,28580000,28580000,10275000,46563000,None,82039000,None,-4024000,-4024000,4024000,None,None,None,6896000,6251000,3440000,None,2811000,2827000,17171000,None,2811000
8,AMK,2018-12-31,USD,65264000,97412000,32148000,32148000,13922000,44538000,None,None,None,None,None,None,None,None,None,6804000,12002000,3986000,None,None,8004000,None,None,8016000
9,AMK,2018-09-30,USD,35440000,92912000,57472000,57472000,15527000,13579000,None,77385000,None,None,None,-4024000,None,None,None,6564000,15297000,4943000,None,10354000,10361000,21862000,None,10354000
10,AMK,2018-06-30,USD,32951000,88777000,55826000,55826000,13602000,12651000,None,75175000,None,None,None,-4024000,None,None,None,6698000,13602000,4337000,None,9265000,9267000,20300000,None,9265000
