,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,BWAY,2020-09-30,USD,4529000,6014000,1485000,1485000,-586000,3704000,1411000,6600000,None,-210000,None,None,None,None,None,None,-796000,170000,None,-966000,None,248000,None,-966000
1,BWAY,2020-06-30,USD,4529000,6014000,992000,992000,-215000,3704000,1041000,5035000,None,-179000,None,None,None,None,None,None,-394000,177000,None,-571000,None,360000,None,-571000
2,BWAY,2020-03-31,USD,3828000,4820000,992000,992000,-3621000,3002000,1795000,7778000,None,309000,309000,None,None,None,None,None,-3312000,130000,None,-3442000,None,360000,None,-3442000
3,BWAY,2019-12-31,USD,4850000,6292000,1442000,1442000,-1991000,1721000,1809000,8283000,None,-48000,-178000,-854000,None,None,None,None,-2169000,147000,None,-2316000,None,-2364000,None,-2316000
4,BWAY,2019-09-30,USD,4779000,5932000,1153000,1153000,-2175000,5041000,1913000,8107000,None,-344000,-344000,344000,None,None,None,None,-2519000,113000,None,-2632000,None,-1464000,None,-2632000
5,BWAY,2019-06-30,USD,4319000,5695000,1376000,1376000,-2701000,4658000,2362000,8396000,None,-672000,-672000,672000,None,None,None,None,-3373000,100000,None,-3473000,None,-1632000,None,-3473000
6,BWAY,2019-03-31,USD,4024000,5182000,1158000,1158000,-1609000,3841000,1792000,6791000,None,-236000,-236000,-236000,None,None,None,None,-1845000,62000,None,-1907000,None,-1253000,None,-1907000
7,BWAY,2018-12-31,USD,3667000,4772000,1105000,1105000,-1752000,3597000,1822000,6524000,None,None,None,-6000,None,None,None,None,-2074000,75000,None,-2149000,None,-1752000,None,-2149000
8,BWAY,2018-09-30,USD,3369000,4295000,926000,926000,-941000,2957000,1353000,5236000,None,None,None,-472000,None,None,None,None,-1449000,28000,None,-1477000,None,-941000,None,-1477000
9,BWAY,2018-06-30,USD,2864000,3726000,862000,862000,-1004000,2598000,1270000,4730000,None,None,None,-297000,None,None,None,None,-1745000,81000,None,-1826000,None,-1004000,None,-1826000
10,BWAY,2018-03-31,USD,2908000,3605000,697000,697000,-1417000,2614000,1711000,5022000,None,None,None,-98000,None,None,None,None,-1002000,25000,None,-1027000,None,-1417000,None,-1027000
11,BWAY,2000-12-31,USD,None,14552000,22396000,22396000,None,33743000,None,None,None,None,None,303000,None,None,None,None,None,None,None,None,None,None,None,None
12,BWAY,2000-09-30,USD,None,34601000,15218000,15218000,None,22130000,None,None,None,None,None,131000,None,None,None,None,None,None,None,None,None,None,None,None
13,BWAY,2000-06-30,USD,None,35179000,13780000,13780000,None,21028000,None,None,None,None,None,137000,None,None,None,None,None,None,None,None,None,None,None,None
14,BWAY,2000-03-31,USD,None,18147000,7215000,7215000,None,12606000,None,None,None,None,None,88000,None,None,None,None,None,None,None,None,None,None,None,None
