,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,WSG,2020-09-30,EUR,39590000,91237000,51647000,51647000,18544000,29269000,None,72693000,None,-9719000,996000,10715000,None,None,None,None,8826000,3365000,None,5461000,None,24930000,None,1563000
1,WSG,2020-06-30,EUR,34505000,51786000,17281000,17281000,14695000,29018000,None,29143000,None,-9306000,998000,10304000,None,None,None,None,5362000,-153000,None,5515000,None,-30111000,None,-29958000
2,WSG,2020-03-31,EUR,57801000,163660000,105859000,105859000,13058000,38492000,None,56693000,None,-11921000,180000,12101000,None,None,None,None,1108000,5407000,None,-4299000,None,-18250000,None,-23657000
3,WSG,2019-12-31,EUR,94371000,255484000,161113000,161113000,21894000,64124000,None,349444000,None,-19675000,190000,16451000,None,None,None,None,-255073000,3493000,None,-258566000,None,-255474000,None,-258967000
4,WSG,2019-09-30,EUR,84827000,245175000,160348000,160348000,6820000,68317000,0,105727000,None,-28236000,286000,28522000,None,0,None,None,-20900000,10299000,None,-31199000,None,-20965000,None,-31264000
5,WSG,2019-06-30,EUR,104404000,283802000,179398000,179398000,41723000,53699000,0,78670000,None,-15842000,321000,16163000,None,0,None,None,25734000,1169000,None,24565000,None,24615000,None,23446000
6,WSG,2019-03-31,EUR,53631000,219907000,166276000,166276000,11092000,33389000,0,42539000,None,-9711000,651000,5112000,None,0,None,None,11092000,6223000,None,-8636000,None,-1156000,None,-8860000
7,WSG,2018-12-31,EUR,365393000,1129186000,763793000,763793000,83696948.84,196476000,0,292426000,None,None,None,36303000,None,0,None,None,83696948.84,21742372.10,None,0,None,70601000,None,59240651.53
8,WSG,2018-09-30,EUR,81150000,227380000,146230000,146230000,97930288.64,51176000,0,64276000,None,None,None,-27227119.43,None,0,None,None,72960205.36,3769000,None,56663712.90,None,16637000,None,55638966.60
9,WSG,2018-06-30,USD,125972998.14,470761173.18,344788175.05,344788175.05,57545391.06,54846368.72,0,413215782.12,None,None,None,-21192970.20,None,0,None,None,30691340.78,9172486.03,None,21518854.75,None,57545391.06,None,19594972.07
10,WSG,2018-03-31,USD,100412104.81,287986222.17,187574117.36,187574117.36,13871324.89,55949071.23,0,274114897.28,None,None,None,-15998277.77,None,0,None,None,4666010.58,-9841.31,None,4675851.89,None,13871324.89,None,4124738.59
