,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,SLGG,2020-12-31,USD,483000,779000,296000,None,-4739000,3684000,1538000,5222000,None,-3000,None,3000,None,-1000,None,270000,None,None,3000,-4740000,-4740000,-4739000,-4469000,-4740000
1,SLGG,2020-09-30,USD,391000,718000,327000,327000,-4297000,3169000,1430000,4688000,None,-3000,None,3000,None,-1000,None,244000,-4298000,None,3000,-4298000,-4298000,-4297000,-4053000,-4298000
2,SLGG,2020-06-30,USD,208000,324000,116000,116000,-4559000,3082000,1685000,4767000,None,-2000,None,2000,None,-1000,None,329000,-4560000,None,2000,-4560000,-4560000,-4559000,-4230000,-4560000
3,SLGG,2020-03-31,USD,126000,243000,117000,117000,-5148000,3369000,1905000,5274000,None,0,None,None,None,14000,None,525000,-5134000,None,0,-5134000,-5134000,-5148000,-4623000,-5134000
4,SLGG,2019-12-31,USD,128000,262000,134000,134000,-4704000,2342000,2490000,4832000,None,-9751000,-9751000,-209000,None,16000,None,205000,-4688000,None,9751000,-4688000,-4688000,-4704000,-4499000,-4688000
5,SLGG,2019-09-30,USD,158000,350000,192000,192000,-4425000,5006000,638000,4583000,None,None,None,None,None,8000,None,172000,-4417000,None,-7067000,2650000,-4417000,-4425000,-4253000,-4417000
6,SLGG,2019-06-30,USD,110000,223000,113000,113000,-5505000,4324000,1291000,5615000,None,None,None,None,None,0,None,150000,-5505000,None,None,-5505000,-5505000,-5505000,-5355000,-5505000
7,SLGG,2019-03-31,USD,175000,249000,74000,74000,-6136000,5601000,1155000,6311000,None,-9938000,-187000,2871000,None,-9933000,None,335000,-16069000,None,None,-16069000,None,-6136000,-5801000,-16069000
8,SLGG,2018-12-31,USD,97000,406000,309000,308928,-4863000,4955771,2501000,4960000,None,None,None,-2620950,None,-2621000,None,315000,-7483979,None,None,-7483979,None,-4863000,-4548000,-7484000
9,SLGG,2018-09-30,USD,83000,153000,70000,70305,-3558000,3636699,567000,3641000,None,None,None,-1450691,None,-1451000,None,255000,-5009392,None,None,-5009392,None,-3558000,-3303000,-5009000
10,SLGG,2018-06-30,USD,176000,358000,182000,152436,-3602000,3956394,558000,3778000,None,None,None,-198526,None,-361000,None,276000,-4066723,None,None,-4066723,None,-3602000,-3326000,-3963000
11,SLGG,2018-03-31,USD,6000,129000,123000,123000,-4126000,3576000,556000,4132000,None,None,None,-45000,None,-45000,None,260000,-4171000,None,None,-4171000,None,-4126000,-3866000,-4171000
