,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,KLDO,2020-12-31,USD,-476000,-476000,None,None,-19300000,5205000,14338000,19543000,5000,-718000,5000,718000,242000,-3000,None,None,-20016000,None,718000,-20016000,-20016000,-19300000,None,-20016000
1,KLDO,2020-09-30,USD,-283000,-283000,None,None,-22378000,7201000,15659000,22860000,21000,-713000,21000,713000,430000,-61000,None,None,-23131000,None,713000,-23131000,-23131000,-22378000,None,-23131000
2,KLDO,2020-06-30,USD,-433000,-433000,None,None,-18142000,5559000,12833000,18392000,30000,-683000,30000,683000,None,-127000,None,None,-18922000,None,683000,-18922000,-18922000,-18142000,None,-18922000
3,KLDO,2020-03-31,USD,-688000,-688000,None,None,-19054000,5917000,13137000,19054000,193000,-688000,193000,688000,None,-2000,None,None,-19551000,None,688000,-19551000,-19551000,-19054000,None,-19551000
4,KLDO,2019-12-31,USD,-781000,-781000,None,None,-18971000,4884000,14087000,18971000,274000,-201000,274000,201000,None,-34000,None,None,-19512000,None,781000,-19512000,-19512000,-18971000,None,-19512000
5,KLDO,2019-09-30,USD,-258000,-258000,None,None,-22118000,5930000,16188000,22118000,428000,-258000,429000,258000,None,-13000,None,None,-21961000,None,258000,-21961000,-21961000,-22118000,None,-21961000
6,KLDO,2019-06-30,USD,-260000,-260000,None,None,-24956000,6181000,18775000,24956000,584000,-260000,584000,260000,None,-7000,None,None,-24639000,None,260000,-24639000,-24639000,-24956000,None,-24639000
