,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,NUZE,2020-12-31,USD,1703,517987,516284,516284,-5902123,None,None,5903826,None,-4039,0,4039,517987,12052,None,None,-5896072,None,4039,-5892127,-5894416,-5902123,None,-5896072
1,NUZE,2020-09-30,USD,-119611,344857,391180,391180,-871331,None,None,751720,None,-4670,0,4670,1497662,-176962,None,None,-1029649,None,4670,-1024979,-867155,-871331,None,-982556
2,NUZE,2020-06-30,USD,-139077,191962,331039,331039,-2518024,None,None,2378947,None,-6448,0,6448,0,-16590,None,None,-2541062,None,6448,-2534614,-2531679,-2518024,None,-2541062
3,NUZE,2020-03-31,USD,-103300,393392,496692,496692,-2516932,None,None,2413632,None,-5407,0,5407,0,1119,None,None,-2521220,None,5407,-2515813,-2512004,-2516932,None,-2521220
4,NUZE,2019-12-31,USD,123035,546208,423173,209670,-3426798,3549833,None,3549833,None,-4718,0,4718,0,-913,None,None,-3432253,None,4718,-3427711,-3388360,-3426798,None,-3432253
5,NUZE,2019-09-30,USD,-85546,489024,574570,469045,1183471,1269017,None,-1269017,None,-2588,0,2588,90069,20877,None,None,1201760,None,-89096,1204348,1222182,1183471,None,1228731
6,NUZE,2019-06-30,USD,116157,585202,469045,469045,-9397846,9514003,None,9514003,None,-1471,0,1471,0,-86294,None,None,-9393927,None,1471,-9392456,-9468526,-9397846,None,-9393927
7,NUZE,2019-03-31,USD,120768,365956,245188,245188,-1392584,1513352,None,1513352,None,-751,0,751,-2631,-41028,None,None,-1434363,None,751,-1433612,-1408083,-1392584,None,-1434363
8,NUZE,2018-12-31,USD,143738,353408,209670,239010,-2588890,2732628,None,2732628,None,-457,0,457,-89053,941,None,None,-2588406,None,89510,-2587949,-2560509,-2588890,None,-2588406
9,NUZE,2018-09-30,USD,-252135,370123,622258,622258,-1606716,1354581,None,1354581,None,-4468,0,4468,-15204,58274,None,None,-1548910,None,4468,-1555871,-1578480,-1606716,None,-1548910
10,NUZE,2018-06-30,USD,98229,271317,173088,173088,-633598,731827,None,731827,None,521,0,-521,-11789,-5744,None,None,-639863,None,-521,-633598,-627474,-633598,None,-639863
11,NUZE,2018-03-31,USD,103254,390653,287399,287399,-734871,838125,None,838125,None,766,0,-766,10051,8541,None,None,-737263,None,-766,-734871,-752081,-734871,None,-737263
12,NUZE,2017-12-31,USD,117869,356879,239010,239010,-642784,760653,None,760653,None,713,0,-713,-250,507,None,None,-643556,None,713,-642784,-636728,-642784,None,-643556
13,NUZE,2017-09-30,USD,32618,406314,373696,373696,-684652,717270,None,717270,None,9866,0,-9866,16325,None,None,None,-677515,None,-275,-687267,-704556,-684652,None,-677515
14,NUZE,2017-06-30,USD,65186,268262,203076,203076,-371990,437176,None,437176,None,745,0,-745,-2947,None,None,None,-367009,None,-745,-371990,-360498,-371990,None,-367009
15,NUZE,2017-03-31,USD,50735,376327,325592,325592,-363139,310879.59,None,413874,None,0,1787,1787,40588,None,None,None,-264832.12,None,0,-363139,-354713,-363139,None,-385292
16,NUZE,2016-12-31,USD,160639,577507,416868,416868,-347695,None,None,508334,None,-1848,None,1848,-53966,None,None,None,-331203,None,1848,-211964,-205542,-347695,None,-346374
17,NUZE,2016-09-30,USD,-52456,223809,276265,276265,-312123,255000,None,255105,None,None,None,None,-203,None,None,None,-302935,None,None,-307561,-307561,-312123,None,-302935
18,NUZE,2016-06-30,USD,63723,136268,191225,72545,-1620031,398000,None,398388,None,None,None,None,69,None,None,None,None,None,None,-1624593,-1624593,-1620031,None,-324820
19,NUZE,2016-03-31,USD,-20678,-50954,-30276,-30276,338787,359000,None,-359465,None,None,None,None,None,None,None,None,None,None,None,338787,338787,338787,None,337939
