,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,PLIN,2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,PLIN,2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,PLIN,2019-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,PLIN,2019-09-30,USD,2046183,25608168,49892720,49892720,None,896357,None,2841360,None,None,None,None,None,None,None,None,None,None,None,None,None,1259370,None,None
4,PLIN,2019-06-30,USD,9001220,102545150,93543930,93543930,5534520,3466700,None,22138276,None,None,-977860,-141577,None,None,None,None,4577240,-133057,None,1613754,None,1681316,None,4363590
5,PLIN,2019-03-31,USD,5013250,54905970,49892720,49892720,1681316,2841360,None,2841360,None,None,None,-141577,None,None,None,None,1480696,-133057,None,1613754,None,1259370,None,1613754
6,PLIN,2018-12-31,USD,9651470,101104220,91452750,91452750,2171890,2608820,None,2608820,None,None,-636650,-278988,None,None,None,None,1615850,239882,None,568042,None,3724990,None,1136080
7,PLIN,2018-09-30,USD,2506622,27452983,24946362,24946362,1085944,711049,None,26367040,None,None,None,-278988,None,None,None,None,807924,239882,None,568042,None,1085944,None,568042
8,PLIN,2018-06-30,USD,9001220,102545150,93543930,93543930,7042650,3466700,None,3466700,None,None,-1034790,-288483,None,None,None,None,4482490,71008,None,937143,None,4008730,None,3768110
9,PLIN,2018-03-31,USD,2861637,26952611,24090975,24090975,2061933,492606,None,24890679,None,None,None,-288483,None,None,None,None,1008151,71008,None,937143,None,2061933,None,937143
10,PLIN,2017-12-31,USD,3928200,47199000,43270800,43270800,2918790,1009410,None,None,None,None,-443040,None,None,None,None,None,2466180,572360,None,None,None,None,None,1893820
11,PLIN,2017-06-30,USD,5067080,63276480,58209400,58209400,3521520,1545560,None,None,None,None,-192690,None,None,None,None,None,3330610,875740,None,None,None,None,None,2454870
