,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,BCYC,2020-12-31,USD,None,3848000,None,None,-17060000,10850000,10058000,20908000,None,-429000,28000,437000,None,None,None,None,-17489000,-56000,None,-17433000,None,-16044000,None,-17433000
1,BCYC,2020-09-30,USD,None,3842000,None,None,-10675000,7154000,7363000,14517000,None,72000,72000,None,None,None,None,None,-10603000,-465000,None,-10138000,None,-10346000,None,-10138000
2,BCYC,2020-06-30,USD,None,1571000,None,None,-12583000,6196000,7958000,14154000,None,371000,371000,None,None,None,None,None,-12212000,-97000,None,-12115000,None,-12273000,None,-12115000
3,BCYC,2020-03-31,USD,None,1129000,None,None,-11643000,4998000,7774000,12772000,None,212000,212000,None,None,None,None,None,-11431000,-107000,None,-11324000,None,-11338000,None,-11324000
4,BCYC,2019-12-31,USD,-1368000,5281000,6649000,6649000,-4764000,3396000,6649000,10045000,None,220000,220000,None,None,None,None,None,-4544000,-138000,None,-4406000,None,-4490000,None,-4406000
5,BCYC,2019-09-30,USD,-5464000,614000,6078000,6078000,-10253000,4789000,6078000,10867000,None,440000,440000,None,None,None,None,None,-9813000,-331000,None,-9482000,None,-10010000,None,-9482000
6,BCYC,2019-06-30,USD,-5015000,1522000,6537000,6537000,-7988000,2973000,6537000,9510000,None,90000,90000,None,None,None,None,None,-10082000,135000,None,-10217000,None,-7758000,None,-10217000
7,BCYC,2019-03-31,USD,108000,6384000,6276000,6276000,-3294000,3402000,6276000,9678000,None,64000,64000,0,None,None,None,None,-6423000,80000,None,-6503000,None,-3081000,None,-6503000
8,BCYC,2018-12-31,USD,-5542000,1057000,6599000,6599000,-7777000,2235000,6078000,8834000,None,None,None,0,None,None,None,None,-8155000,-191000,None,-7964000,None,-7777000,None,-7964000
9,BCYC,2018-06-30,USD,-3256000,1661000,4917000,4917000,-4958000,1702000,4917000,6619000,None,None,None,None,None,None,None,None,-4979000,None,None,-4979000,None,-4769000,None,-4979000
10,BCYC,2018-03-31,USD,-901000,2808000,3709000,3709000,-2889000,1988000,0,5697000,None,None,None,-3000,None,None,None,None,-2930000,-396000,None,-2534000,None,-2889000,None,-2534000
11,BCYC,2017-12-31,USD,-3450000,655000,4105000,4105000,-6020000,2570000,0,6675000,None,None,None,-3000,None,None,None,None,-5816000,9000,None,-5825000,None,-6020000,None,-5825000
