,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,API,2020-12-31,USD,20096000,33253000,13157000,13157000,-7749000,14105000,14438000,41002000,None,1527000,1527000,None,None,None,None,None,-6253000,-71000,None,-6182000,None,-6235000,None,-6182000
1,API,2020-09-30,USD,22527000,33904000,11377000,11377000,-3777000,9309000,12449000,-770000,None,960000,960000,None,None,None,None,None,-2851000,74000,None,-2925000,None,4067000,None,-2925000
2,API,2020-06-30,USD,24478072,35560435,11082363,11082363,3069000,9547384,10919000,-23259,None,120000,120000,None,None,None,None,None,3196000,190000,None,3006000,None,4017466,None,3006000
3,API,2020-03-31,USD,24478072,35560435,11082363,11082363,3265779,9547384,11688168,-23259,None,97235,97235,None,None,None,None,None,3355981,368791,None,2987190,None,4017466,None,2987190
4,API,2019-12-31,USD,11813000,17061000,5248000,5248000,-2404945,6436000,7127830,-58000,None,239970,239970,None,None,None,None,None,-2131101,None,None,-2342438,None,-673000,None,-2342438
5,API,2019-09-30,USD,10317000,14901000,4584000,4584000,-1153000,6602000,6588000,-14000,None,262000,262000,None,None,None,None,None,-851000,262000,None,-1113000,None,-1581000,None,-1113000
6,API,2019-06-30,USD,10317000,14901000,4584000,4584000,-1979000,6602000,5708000,-14000,None,81000,81000,None,None,None,None,None,-1867000,136000,None,-2003000,None,-1581000,None,-2003000
7,API,2019-03-31,USD,12670226,19104690,6434464,6434464,-552200,7978193,4199568,-30852,None,42840,24590,None,None,None,None,None,-527600,190375,None,-717978,None,-1862085,None,-717980
8,API,2014-12-31,USD,1869000,5805000,3936000,3936000,-706000,1463000,959000,2575000,None,None,None,124000,None,129000,None,None,-701000,0,None,-701000,None,-577000,None,-701000
9,API,2014-09-30,USD,2624000,7789000,5165000,5165000,-272000,1664000,1051000,2896000,None,None,None,129000,None,33000,None,None,-368000,0,None,-368000,None,-239000,None,-368000
10,API,2014-06-30,USD,2919000,7663000,4744000,4744000,-141000,1846000,1009000,3060000,None,None,None,181000,None,54000,None,None,-268000,0,None,-268000,None,-87000,None,-268000
11,API,2014-03-31,USD,9876000,6977000,4781000,4781000,-2129000,2801000,1085000,0,None,None,None,173000,None,None,None,None,-2646000,0,None,0,None,0,None,-2646000
12,API,2013-12-31,USD,1888000,7450000,5562000,5562000,-1311000,1775000,1164000,3199000,None,None,None,154000,None,-153000,None,None,-1618000,0,None,-1618000,None,-1464000,None,-1618000
13,API,2013-09-30,USD,2789000,7536000,4747000,4747000,-546000,1842000,1234000,3335000,None,None,None,165000,None,133000,None,None,-578000,0,None,-578000,None,-413000,None,-578000
14,API,2013-06-30,USD,2927000,7078000,4151000,4151000,-526000,1711000,1492000,3453000,None,None,None,160000,None,-239000,None,None,-925000,0,None,-925000,None,-765000,None,-925000
15,API,2013-03-31,USD,7158000,6013000,3656000,3656000,-3373000,2872000,1412000,0,None,None,None,105000,None,None,None,None,-4387000,0,None,0,None,0,None,-3362000
16,API,2012-12-31,USD,2453000,5834000,3381000,3381000,-1012000,1614000,1558000,3465000,None,None,None,34000,None,7000,None,None,-1039000,0,None,-1039000,None,-1005000,None,-1026000
17,API,2012-09-30,USD,-270000,5586000,3417000,3417000,-297000,2957000,1342000,0,None,None,None,30000,None,None,None,None,0,0,None,0,None,0,None,-294000
18,API,2012-06-30,USD,2244000,6216000,3772000,3772000,-977000,2929000,1371000,0,None,None,None,33000,None,None,None,None,0,0,None,0,None,0,None,-993000
19,API,2012-03-31,USD,10180000,6504000,4075000,4075000,-1804000,2897000,1475000,0,None,None,None,33000,None,None,None,None,-2112000,0,None,0,None,0,None,-1300000
20,API,2011-12-31,USD,-877000,6518000,3551000,3551000,-506000,3206000,1660000,0,None,None,None,41000,None,None,None,None,0,0,None,0,None,0,None,-558000
