,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,FUSN,2020-09-30,USD,None,0,None,None,-10278000,5790000,4529000,10278000,None,80000,None,None,None,None,None,None,-10178000,-185000,None,-9993000,None,-10175000,None,-9993000
1,FUSN,2020-06-30,USD,None,0,None,None,-7261000,3988000,3325000,7261000,None,22000,22000,None,None,None,None,None,-44583000,150000,None,-44733000,None,-1098000,None,-44733000
2,FUSN,2020-03-31,USD,None,0,None,None,-8658000,4327000,4377000,8658000,None,147000,147000,None,None,None,None,None,-10160000,62000,None,-10222000,None,-8152000,None,-10222000
3,FUSN,2019-12-31,USD,None,0,None,None,-6096000,2724000,3416000,6096000,None,181000,None,None,None,None,None,None,-8168000,None,None,-8206000,None,-6019000,None,-8206000
4,FUSN,2019-09-30,USD,None,0,None,None,-4116000,1922000,2238000,4116000,None,247000,None,None,None,None,None,None,-413000,181000,None,-594000,None,-4037000,None,-594000
5,FUSN,2019-06-30,USD,None,None,None,None,None,1771000,None,None,None,None,None,None,None,None,None,None,None,18000,None,None,None,-3793000,None,None
6,FUSN,2019-03-31,USD,None,None,None,None,-4012000,1171000,None,None,None,None,None,None,None,None,None,None,-3919000,14000,None,None,None,-3905000,None,-3933000
7,FUSN,2000-09-30,USD,None,106000,None,None,None,2435000,518000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,FUSN,2000-06-30,USD,None,None,None,None,None,3855000,1007000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,FUSN,2000-03-31,USD,None,None,None,None,None,2786000,1511000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
